category_id,name,slug,parent_id,category_order,meta_title,meta_description,meta_keywords
1,Clothing,clothing,0,1,Category Clothing,Category Clothing,"category, clothing"
2,Shoes,shoe,0,2,Category Shoes,Category Shoes,"category, shoes"
3,Women's Clothing,womens-clothing,1,1,Category Women's Clothing,Category Women's Clothing,"category, women, clothing"
4,Coats & Jackets,Coats,3,1,Coats & Jackets,Coats & Jackets,"Coats, Jackets"
5,Sweaters,Sweaters,3,2,Sweaters,Sweaters,Sweaters
6,Tops,Tops,3,3,Tops,Tops,Tops
7,Pants,Pants,3,4,Pants,Pants,Pants
8,Indian Dresses ,Indian-Dresses ,3,5,Indian Dresses ,Indian Dresses ,"India,  Dresses "
9,Sarees,Sarees,3,6,Sarees,Sarees,Sarees
10,Suits & Blazers,Suits-blazers,3,7,Suits & Blazers,Suits & Blazers,"Suits,  Blazers"
11,Activewear,Activewear,3,8,Activewear,Activewear,Activewear
12,Pajamas & Loungewear,Pajamas-Loungewear,3,9,Pajamas & Loungewear,Pajamas & Loungewear,"Pajamas,  Loungewear"
13,Women's Shoes,Women-Shoes,2,2,Women's Shoes,Women's Shoes,Women's Shoes
14,Boots & Booties,Boots-Booties,3,11,Boots & Booties,Boots & Booties,"Boots,  Booties"
15,Flats & Loafers,Flats-Loafers,3,12,Flats & Loafers,Flats & Loafers,Flats & Loafers
16,Sneakers,Sneakers,3,13,Sneakers,Sneakers,Sneakers
17,Heels & Sandals,Heels-Sandals,3,14,Heels & Sandals,Heels & Sandals,"Heels,  Sandals"
18,Mules & Slippers,Mules-Slippers,3,15,Mules & Slippers,Mules & Slippers,"Mules,  Slippers"
19,Accessories,Accessories,3,16,Accessories,Accessories,Accessories
20,Handbags,Handbags,3,17,Handbags,Handbags,Handbags
21,Women's Sunglasses,Women-Sunglasses,3,18,Women's Sunglasses,Women's Sunglasses,Women's Sunglasses
22,Men's Sunglasses,Men-Sunglasses,3,19,Men's Sunglasses,Men's Sunglasses,Men's Sunglasses
23,Eyewear,Eyewear,3,20,Eyewear,Eyewear,Eyewear
24,Scarves & Wraps,Scarves-Wraps,3,21,Scarves & Wraps,Scarves & Wraps,"Scarves,  Wraps"
25,Men's Clothing,Mens-Clothing,1,2,Men's Clothing,Men's Clothing,Men's Clothing
26,Coats & Jackets,Coats-Jackets,25,1,Coats & Jackets,Coats & Jackets,Coats & Jackets
27,Sweaters,Sweaters,25,2,Sweaters,Sweaters,Sweaters
28,Indian Traditional dresses,Indian-Traditional-dresses,25,3,Indian Traditional dresses,Indian Traditional dresses,Indian Traditional dresses
29,Dress Shirts,Dress-Shirts,25,4,Dress Shirts,Dress Shirts,Dress Shirts
30,T-Shirts,T-Shirts,25,5,T-Shirts,T-Shirts,T-Shirts
31,Pants & shorts,Pants-shorts,25,6,Pants & shorts,Pants & shorts,Pants & shorts
32,Suits & Blazers,Suits-blazers,25,7,Suits & Blazers,Suits & Blazers,Suits & Blazers
33,Sweatshirts & Hoodies,Sweatshirts-Hoodies,25,8,Sweatshirts & Hoodies,Sweatshirts & Hoodies,Sweatshirts & Hoodies
34,Men's Shoes,mens-shoes,2,1,Mens Shoes,Mens Shoes,Mens Shoes
35,Boots & Sneakers,boots-sneakers,34,1,boots-sneakers,boots-sneakers,boots-sneakers
36,Loafers & Sandals,loafers-sandals,34,2,loafers-sandals,loafers-sandals,loafers-sandals
37,Joothas & Slippers,joothas-slippers,34,3,joothas-slippers,joothas-slippers,joothas-slippers
38,Kids' Apparel,Kids-apparel,1,3,Kids-apparel,Kids-apparel,Kids-apparel
39,Girls' Clothing,girls-apparel,1,4,girls-apparel,girls-apparel,girls-apparel
40,Boys' Clothing,boys-apparel,1,5,boys-apparel,boys-apparel,boys-apparel
41,Food & Drinks,Food-Drinks,0,3,Food & Drinks,Food & Drinks,Food & Drinks
42,Beauty & Spas,Beauty-Spas,0,4,Beauty & Spas,Beauty & Spas,Beauty & Spas
43,Gifts,Gifts,0,5,Gifts,Gifts,Gifts
44,Home & Auto Services,Home-Auto-Services,0,6,Home & Auto Services,Home & Auto Services,Home & Auto Services
45,Insurance & Legal Services,Insurance-Legal-Services,0,7,Insurance & Legal Services,Insurance & Legal Services,Insurance & Legal Services
46,Travel & Leisure,Travel-Leisure,0,8,Travel & Leisure,Travel & Leisure,Travel & Leisure
47,Education Services,Education-Services,0,9,Education Services,Education Services,Education Services
48,Jewelry & Watches,Jewelry-Watches,0,10,Jewelry & Watches,Jewelry & Watches,Jewelry & Watches
49,Vault & Auctions,Vault-Auctions,0,11,Vault & Auctions,Vault & Auctions,Vault & Auctions
50,Coupons,Coupons,0,12,Coupons,Coupons,Coupons
51,Wedding Needs,Wedding-Needs,0,13,Wedding Needs,Wedding Needs,Wedding Needs
